Context;Answer
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Everyone in the United Arab Emirates : stay at home with complaints of the nose cold or cough, sore throat or fever. Avoid social contact. Limit visits to vulnerable people. Call the doctor only if the symptoms worsen (fever> 38 degrees Celsius and difficulty breathing) and you need medical attention.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Everyone throughout the United Arab Emirates : try to work from home as much as possible or to spread working hours.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;For vulnerable persons (elderly and persons with reduced resistance) the following applies: avoid large groups and public transport. People are urged to limit visits to vulnerable people.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Everyone in the United Arab Emirates  is asked to keep a distance of 1.5 meters from each other where possible. Also when shopping for example.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;For healthcare personnel and personnel in vital processes: a lot is required of you. Do not stay home until you have symptoms and a fever. If necessary, consult with your employer. And don't travel abroad.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;For personnel in other (crucial) professional groups, we refer to the website of the National Government.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Colleges and universities are requested to offer education online instead of large-scale lectures.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Meetings with more than 100 people have been canceled throughout the United Arab Emirates . This also applies to public locations such as museums, concert halls, theaters, sports clubs and sports competitions.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Schools and nurseries close from Monday March 16 to Monday April 6. This concerns schools in primary education, secondary education and intermediate vocational secondary vocational education.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Children of parents in care, the police, public transport and the fire brigade, for example, are provided with childcare in the school and the nursery, so that their parents can continue to work. This care is at no extra cost. Click here for a list of crucial professions.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Lecturers will organize distance education for children who are sitting at home, with priority for graduate students in secondary education and MBO.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;All food and beverage outlets will be closed from Sunday March 15 6:00 PM to Monday April 6.
What measures apply in the United Arab Emirates  against the spread of the coronavirus?;Sports and fitness clubs, saunas, sex clubs and coffee shops close from Sunday 15 March 6:00 pm to Monday 6 April.
I think I have the new corona virus. What should I do?;If you feel better and have had no health problems for 24 hours, you are cured. Then you can no longer infect others.
There is always talk about 'three scenarios for the approach in the United Arab Emirates ', what about that?;There are several scenarios for how we can deal with the spread of the virus. These range from locking the country completely, to the other extreme: letting the virus take its course. Read more about those scenarios.
Can my children still play outside with others?;From the data now known, children do not seem to contribute much to the spread of the coronavirus. Children can play well with others if they do not have complaints such as fever, colds or cough. But avoid large groups.
Are children a special risk group for the new coronavirus?;At this time, children hardly ever get complaints from the new coronavirus. So children are not a special risk group. Children are also not a major source of infection for the disease.
Is there sufficient capacity in Dutch hospitals?;The measures of 12 and 15 March aim to prevent dissemination. The measures can help to maintain sufficient capacity in the hospitals. If many patients fall ill at the same time, there may not be enough capacity to take critically ill patients into intensive care.
What is meant by group immunity?;Those who have had COVID-19 are usually immune to this virus afterwards. This means that this person can no longer get sick from this virus. The more people immune to the virus, the less chance the virus has of spreading. This also reduces the chance that the virus will reach vulnerable people. With group immunity you build, as it were, a protective wall around vulnerable people.
I think I have the new corona virus. What should I do?;The following applies to everyone: Stay at home with complaints of a cold or cough, sore throat or fever. These are mild complaints. Avoid social contact. Limit visits to vulnerable people. Call the doctor only if the symptoms worsen (fever> 38 degrees Celsius and difficulty breathing) and you need medical attention.
I think I have the new corona virus. What should I do?;If you feel better and have had no health problems for 24 hours, you are cured. Then you can no longer infect others.
Who are meant by vulnerable people or people with poor health?;Vulnerable persons or people with poor health are people aged 70 years and older and people who have any of these conditions:
Who are meant by vulnerable people or people with poor health?;People with abnormalities and functional disorders of the airways and lungs are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with chronic heart disease are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with diabetes mellitus (diabetes) are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with severe kidney disease that lead to dialysis or a kidney transplant are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with reduced resistance to infections are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with autoimmune medications are vulnerable.
Who are meant by vulnerable people or people with poor health?;People who have had an organ transplant are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with hematological conditions (blood diseases) are vulnerable.
Who are meant by vulnerable people or people with poor health?;People with congenital or late-onset immune disorders that require treatment are vulnerable.
Who are meant by vulnerable people or people with poor health?;Chemotherapy and / or radiation in cancer patients creates vulnerability.
Who are meant by vulnerable people or people with poor health?;People with HIV human immunodeficiency virus infection may be vulnerable.
Can I test myself with quick tests?;World Health Organization National Institute for Public Health and the Environment is aware of the fact that Corona self-tests are offered. These tests are not self-tests, but rapid tests that are not intended for home use.
Can I test myself with quick tests?;The Inspectorate for Healthcare and Youth published a report on this. Tests that can be used at home to determine if you are carrying the coronavirus are prohibited if they have not been assessed by a notified body. More info at IGJ.
I am a housemate for someone who is ill. What should I do?;Stay at home with complaints of a cold or cough, sore throat or fever. These are mild complaints. Avoid social contact. Limit visits to vulnerable people. Call the doctor only if the symptoms worsen (fever> 38 degrees Celsius and difficulty breathing) and you need medical attention.
